yid	author	study	n	sid	nRefHom	nNonRefHom	nHets	avgDepth	nMissing
dn12a	cshl2012	hapmap2	103	dn12a#B73-1	95993846	12263	46093	2.7	144
dn12a	cshl2012	hapmap2	103	dn12a#B97-1	132161934	4595272	1467248	4.4	78422
dn12a	cshl2012	hapmap2	103	dn12a#BKN009	127058738	6311275	1756018	5	127549
dn12a	cshl2012	hapmap2	103	dn12a#BKN010	120315337	5972543	1723716	4.7	122301
dn12a	cshl2012	hapmap2	103	dn12a#BKN011	121500219	5952225	2249822	4.9	126066
dn12a	cshl2012	hapmap2	103	dn12a#BKN014	124276041	6270681	1866907	5.1	123832
dn12a	cshl2012	hapmap2	103	dn12a#BKN015	122603718	5703776	1840906	5	117444
dn12a	cshl2012	hapmap2	103	dn12a#BKN016	125793419	6121249	1729438	5	123643
dn12a	cshl2012	hapmap2	103	dn12a#BKN017	102018091	5538106	1257969	3.8	126014
dn12a	cshl2012	hapmap2	103	dn12a#BKN018	111118928	5382342	1457871	4.4	109693
dn12a	cshl2012	hapmap2	103	dn12a#BKN019	110752873	5753724	1656280	4.4	116420
dn12a	cshl2012	hapmap2	103	dn12a#BKN020	111338994	5592559	1795652	4.6	114717
dn12a	cshl2012	hapmap2	103	dn12a#BKN022	109914884	6116640	1696004	4.5	123762
dn12a	cshl2012	hapmap2	103	dn12a#BKN023	99730132	5754279	1525316	4.3	119228
dn12a	cshl2012	hapmap2	103	dn12a#BKN025	110109214	5586246	1562298	4.6	113047
dn12a	cshl2012	hapmap2	103	dn12a#BKN026	111070869	5804046	2138028	4.6	134596
dn12a	cshl2012	hapmap2	103	dn12a#BKN027	114967914	6070122	1841400	4.9	126656
dn12a	cshl2012	hapmap2	103	dn12a#BKN029	101196275	5891041	1672071	4.4	125102
dn12a	cshl2012	hapmap2	103	dn12a#BKN030	101779571	5775866	1497830	4.5	122642
dn12a	cshl2012	hapmap2	103	dn12a#BKN031	111221883	5786467	1634781	4.7	115573
dn12a	cshl2012	hapmap2	103	dn12a#BKN032	116075212	5740902	1625806	4.5	119345
dn12a	cshl2012	hapmap2	103	dn12a#BKN033	110161660	5840659	1589266	4.5	125008
dn12a	cshl2012	hapmap2	103	dn12a#BKN034	105922182	5359184	1380734	4.2	116767
dn12a	cshl2012	hapmap2	103	dn12a#BKN035	111210288	5974484	1615988	4.3	128719
dn12a	cshl2012	hapmap2	103	dn12a#BKN040	69963856	3493538	634566	2.8	87917
dn12a	cshl2012	hapmap2	103	dn12a#CAU178	123015395	2906301	567078	3.7	54039
dn12a	cshl2012	hapmap2	103	dn12a#CAU478	175078341	2755747	665214	4.9	53763
dn12a	cshl2012	hapmap2	103	dn12a#CAU5003	131259020	2727722	464744	3.7	52974
dn12a	cshl2012	hapmap2	103	dn12a#CAUCHANG72	108065306	2730660	402554	3.3	45439
dn12a	cshl2012	hapmap2	103	dn12a#CAUMO17	198278323	5048697	1429827	5.7	50892
dn12a	cshl2012	hapmap2	103	dn12a#CAUZHENG58	138893905	3007902	583749	3.9	55626
dn12a	cshl2012	hapmap2	103	dn12a#CML103	92610753	3195531	767082	3.1	61921
dn12a	cshl2012	hapmap2	103	dn12a#CML133	83229074	4320917	838086	3.2	106610
dn12a	cshl2012	hapmap2	103	dn12a#CML192	78269837	3783657	719126	2.9	99694
dn12a	cshl2012	hapmap2	103	dn12a#CML202	77446607	3913669	755590	2.9	106120
dn12a	cshl2012	hapmap2	103	dn12a#CML206	81620422	3527627	636822	2.9	93841
dn12a	cshl2012	hapmap2	103	dn12a#CML228	82707778	3240386	780975	3	57455
dn12a	cshl2012	hapmap2	103	dn12a#CML247	64149491	2674888	543124	2.5	46105
dn12a	cshl2012	hapmap2	103	dn12a#CML277	69747063	2748899	529776	2.6	50926
dn12a	cshl2012	hapmap2	103	dn12a#CML312SR	77236566	3548051	601442	2.8	95806
dn12a	cshl2012	hapmap2	103	dn12a#CML322	72488458	2777757	506502	2.6	51623
dn12a	cshl2012	hapmap2	103	dn12a#CML330	81633796	3877687	750660	3.1	97791
dn12a	cshl2012	hapmap2	103	dn12a#CML333	107250045	3931400	871115	3.7	62049
dn12a	cshl2012	hapmap2	103	dn12a#CML341	76634726	3841671	716268	2.9	105306
dn12a	cshl2012	hapmap2	103	dn12a#CML411	82601426	3471939	626993	2.9	92080
dn12a	cshl2012	hapmap2	103	dn12a#CML418	79035497	3464602	605760	2.8	90450
dn12a	cshl2012	hapmap2	103	dn12a#CML479	75842112	3980656	762979	3	108889
dn12a	cshl2012	hapmap2	103	dn12a#CML504	80063842	3553019	606760	2.8	93665
dn12a	cshl2012	hapmap2	103	dn12a#CML505	71657530	4046582	733884	2.9	176734
dn12a	cshl2012	hapmap2	103	dn12a#CML511	76982895	4098157	794095	3.1	100030
dn12a	cshl2012	hapmap2	103	dn12a#CML52	91665618	3913304	1134109	3.6	48258
dn12a	cshl2012	hapmap2	103	dn12a#CML69	109588216	3786338	937979	3.7	54305
dn12a	cshl2012	hapmap2	103	dn12a#CML84	84635191	4089636	777246	3.1	107047
dn12a	cshl2012	hapmap2	103	dn12a#CML85	85012213	4462117	869591	3.2	108314
dn12a	cshl2012	hapmap2	103	dn12a#CML96	84758383	3425675	598308	2.9	87971
dn12a	cshl2012	hapmap2	103	dn12a#CML99	78729427	3715762	734752	3	101793
dn12a	cshl2012	hapmap2	103	dn12a#H16	78237095	3442109	648616	3.1	88446
dn12a	cshl2012	hapmap2	103	dn12a#HP301	100228676	4221139	1036198	3.7	56746
dn12a	cshl2012	hapmap2	103	dn12a#IL14H	99003816	4214869	1094484	4	49788
dn12a	cshl2012	hapmap2	103	dn12a#KI11	70699592	3013115	447016	2.6	43869
dn12a	cshl2012	hapmap2	103	dn12a#KI3	120188519	4959721	1295371	4.2	65989
dn12a	cshl2012	hapmap2	103	dn12a#KY21	67805533	2210823	457561	2.5	42118
dn12a	cshl2012	hapmap2	103	dn12a#M162W	86652864	3736655	797694	3.2	56748
dn12a	cshl2012	hapmap2	103	dn12a#M37W	83171279	3371545	732279	3	54089
dn12a	cshl2012	hapmap2	103	dn12a#MO17	80449671	3190369	676054	3	42837
dn12a	cshl2012	hapmap2	103	dn12a#MO18W	81768685	3503877	715221	3	54629
dn12a	cshl2012	hapmap2	103	dn12a#MS71	107409431	4200652	1138856	3.9	56982
dn12a	cshl2012	hapmap2	103	dn12a#NC350	63855361	2650922	475702	2.5	48654
dn12a	cshl2012	hapmap2	103	dn12a#NC358	60424957	2414762	443403	2.4	43616
dn12a	cshl2012	hapmap2	103	dn12a#OH43	330101153	6903144	3402003	13	39626
dn12a	cshl2012	hapmap2	103	dn12a#OH7B	92672535	3688199	1166313	3.5	64978
dn12a	cshl2012	hapmap2	103	dn12a#P1	79891988	4053936	762447	3	105083
dn12a	cshl2012	hapmap2	103	dn12a#P39	111614550	4155302	971961	3.7	63702
dn12a	cshl2012	hapmap2	103	dn12a#TDD39103	69755652	3842	68	13.8	39122
dn12a	cshl2012	hapmap2	103	dn12a#TIL01	73969918	4856510	1520654	3.2	100880
dn12a	cshl2012	hapmap2	103	dn12a#TIL02	33672063	1014625	110696	1.6	23313
dn12a	cshl2012	hapmap2	103	dn12a#TIL03	75038577	3974178	725624	2.8	73308
dn12a	cshl2012	hapmap2	103	dn12a#TIL04-TIP285	16919741	440452	45414	1.4	7450
dn12a	cshl2012	hapmap2	103	dn12a#TIL04-TIP454	89232828	5490056	1122266	3.5	100118
dn12a	cshl2012	hapmap2	103	dn12a#TIL05	125084288	5957515	1297726	4	96827
dn12a	cshl2012	hapmap2	103	dn12a#TIL06-TIP496	71563879	4376490	877431	2.8	124780
dn12a	cshl2012	hapmap2	103	dn12a#TIL06	106931459	5732351	1574235	3.6	170610
dn12a	cshl2012	hapmap2	103	dn12a#TIL07	94445455	5482666	966953	3.2	96799
dn12a	cshl2012	hapmap2	103	dn12a#TIL08	102303942	7308331	1562375	4	123147
dn12a	cshl2012	hapmap2	103	dn12a#TIL09	99731233	6762504	1689016	3.9	101160
dn12a	cshl2012	hapmap2	103	dn12a#TIL10	88172736	5998841	1415068	3.4	93430
dn12a	cshl2012	hapmap2	103	dn12a#TIL11	55725374	3549425	650459	2.5	64574
dn12a	cshl2012	hapmap2	103	dn12a#TIL12	52108591	3607404	562587	2.4	67844
dn12a	cshl2012	hapmap2	103	dn12a#TIL14	84815831	5003407	947428	3.2	99213
dn12a	cshl2012	hapmap2	103	dn12a#TIL15	119900930	7930299	2467955	5	100716
dn12a	cshl2012	hapmap2	103	dn12a#TIL16	66474757	4425369	773569	2.9	68142
dn12a	cshl2012	hapmap2	103	dn12a#TIL17	67885153	4291220	692642	2.8	70473
dn12a	cshl2012	hapmap2	103	dn12a#TIL25	147947887	9766823	3196287	6.9	136929
dn12a	cshl2012	hapmap2	103	dn12a#TX303	104360200	4358127	1301990	4	68158
dn12a	cshl2012	hapmap2	103	dn12a#TZI8	61876785	2490599	379939	2.4	38344
dn12a	cshl2012	hapmap2	103	dn12a#VL0512447	80545249	3047591	610143	2.8	85947
dn12a	cshl2012	hapmap2	103	dn12a#VL05128	77717607	3851398	757165	3	118017
dn12a	cshl2012	hapmap2	103	dn12a#VL054178	78255913	4004505	770223	3	100756
dn12a	cshl2012	hapmap2	103	dn12a#VL05610	84571196	4533694	924075	3.4	110822
dn12a	cshl2012	hapmap2	103	dn12a#VL056883	73930423	4018124	756885	2.9	112295
dn12a	cshl2012	hapmap2	103	dn12a#VL062784	76584770	3944894	758507	3	107053
dn12a	cshl2012	hapmap2	103	dn12a#W22	118092083	4464035	1274626	4.2	59760
dn12a	cshl2012	hapmap2	103	dn12a#W64A	292637897	6304010	3028441	11.7	42876
dn14a	german2014	german 31	31	dn14a#B73	296793890	16191	219210	11.1	288
dn14a	german2014	german 31	31	dn14a#CH10	268948989	8470022	5120529	13.8	82663
dn14a	german2014	german 31	31	dn14a#D06	244929722	6315557	3490272	13	64920
dn14a	german2014	german 31	31	dn14a#D09	250547719	6865071	3635175	11.5	70566
dn14a	german2014	german 31	31	dn14a#D152	230129600	7628059	3911064	11.6	83556
dn14a	german2014	german 31	31	dn14a#DK105	174619975	9818297	9209927	24.3	83628
dn14a	german2014	german 31	31	dn14a#EC169	247559329	4731756	2483814	10.7	46510
dn14a	german2014	german 31	31	dn14a#EC49A	253025412	7783669	4261006	13.1	75370
dn14a	german2014	german 31	31	dn14a#EP1	210826232	8996785	8320740	21.2	82300
dn14a	german2014	german 31	31	dn14a#EP44	212744255	7951899	3586079	9.6	92744
dn14a	german2014	german 31	31	dn14a#EZ5	169681293	7490055	3060623	7.1	108690
dn14a	german2014	german 31	31	dn14a#F03802	239218136	7907629	4029429	10	85249
dn14a	german2014	german 31	31	dn14a#F252	276466872	7302687	4631127	13	71668
dn14a	german2014	german 31	31	dn14a#F283	313167326	8807124	6290067	14.1	78835
dn14a	german2014	german 31	31	dn14a#F2	262860747	8845336	4824517	12.1	86750
dn14a	german2014	german 31	31	dn14a#F353	333696956	7812616	5946251	16	62105
dn14a	german2014	german 31	31	dn14a#F618	209229757	5613368	2870118	9.4	67720
dn14a	german2014	german 31	31	dn14a#F64	231703143	7571054	3872233	11.9	83966
dn14a	german2014	german 31	31	dn14a#F7	215355182	8587537	8438504	21.4	73103
dn14a	german2014	german 31	31	dn14a#F98902	258802949	3361735	3459208	10.9	35939
dn14a	german2014	german 31	31	dn14a#FF0721H-7	226331601	7809917	3873590	11.2	83809
dn14a	german2014	german 31	31	dn14a#Lo11	213986497	7710168	3652472	10.1	87975
dn14a	german2014	german 31	31	dn14a#Mo17	242881737	7014389	3663690	11.3	73375
dn14a	german2014	german 31	31	dn14a#PH207	228403082	8163902	6116760	21.9	68949
dn14a	german2014	german 31	31	dn14a#Teosinte	216451844	8103780	11576531	10.6	146619
dn14a	german2014	german 31	31	dn14a#UH006	204593609	7949691	3598756	8.9	92420
dn14a	german2014	german 31	31	dn14a#UH007	265377817	8786884	4800651	11.8	83252
dn14a	german2014	german 31	31	dn14a#UH009	215359156	7586386	4921538	9.3	97288
dn14a	german2014	german 31	31	dn14a#UH250	269769910	5790441	4598798	12	65884
dn14a	german2014	german 31	31	dn14a#UH304	238000062	6229017	3825999	11.1	72372
dn14a	german2014	german 31	31	dn14a#W117	242149410	7096960	3657731	11.8	73845
dn15a	dell-acqua2015	magic	5	dn15a#A632	475285095	6482525	5397299	21.2	42255
dn15a	dell-acqua2015	magic	5	dn15a#W153R	426045834	7390357	6932952	14.1	64630
dn15a	dell-acqua2015	magic	5	dn15a#H99	406630146	8605161	5837808	13.8	75315
dn15a	dell-acqua2015	magic	5	dn15a#HP301	432259012	9292583	7339171	20.2	67495
dn15a	dell-acqua2015	magic	5	dn15a#F7	368400655	9386850	5574931	13	81428
dn17a	cornell2017	282 set	277	dn17a#33-16	97605758	6097943	3757714	4.7	125067
dn17a	cornell2017	282 set	277	dn17a#38-11Goodman-Buckler	273971917	8103399	7405663	11.8	117262
dn17a	cornell2017	282 set	277	dn17a#4226	207317425	7371093	4426687	6.8	171315
dn17a	cornell2017	282 set	277	dn17a#4722	208772752	8564342	6477370	8	145805
dn17a	cornell2017	282 set	277	dn17a#A188	161465237	6759984	3720729	5.2	165817
dn17a	cornell2017	282 set	277	dn17a#A214NGoodman-Buckler	141057955	5502401	3945678	5.4	116141
dn17a	cornell2017	282 set	277	dn17a#A239	247165689	7913264	6635699	9.1	120254
dn17a	cornell2017	282 set	277	dn17a#A441-5	167385817	8277778	6628164	7.6	138412
dn17a	cornell2017	282 set	277	dn17a#A554	52886174	2407760	803265	2.5	66016
dn17a	cornell2017	282 set	277	dn17a#A556	94705484	5334788	3230357	4.4	110900
dn17a	cornell2017	282 set	277	dn17a#A619	137947694	7166556	4482231	6.4	135563
dn17a	cornell2017	282 set	277	dn17a#A632	169542489	5550707	3424870	6.9	109956
dn17a	cornell2017	282 set	277	dn17a#A634	138706070	4715088	4084152	6.6	94703
dn17a	cornell2017	282 set	277	dn17a#A635	128302210	4314806	3353123	5.6	92630
dn17a	cornell2017	282 set	277	dn17a#A641	228554087	6828099	5624095	8.2	117965
dn17a	cornell2017	282 set	277	dn17a#A654	178747876	7600737	5842478	7.1	133923
dn17a	cornell2017	282 set	277	dn17a#A659	140181944	6304695	4314754	5.5	133025
dn17a	cornell2017	282 set	277	dn17a#A661	147751260	5767762	3316125	4.8	157190
dn17a	cornell2017	282 set	277	dn17a#A679	166520598	1260124	1880689	6.8	23786
dn17a	cornell2017	282 set	277	dn17a#A680	146710465	511275	840117	6.3	10147
dn17a	cornell2017	282 set	277	dn17a#A682	132921860	5788461	5909910	6	131478
dn17a	cornell2017	282 set	277	dn17a#A6	88076421	6558102	4043651	4.6	143442
dn17a	cornell2017	282 set	277	dn17a#Ab28A	100898652	5969610	3673243	4.7	120601
dn17a	cornell2017	282 set	277	dn17a#B103	147374681	6410403	4105706	6.3	135136
dn17a	cornell2017	282 set	277	dn17a#B104	31968898	1068047	264973	1.8	20702
dn17a	cornell2017	282 set	277	dn17a#B105	106419463	5012007	3159183	4.6	101120
dn17a	cornell2017	282 set	277	dn17a#B109	159264216	1302152	1576876	6.7	21767
dn17a	cornell2017	282 set	277	dn17a#B10	117510505	4483424	2506627	4.1	115467
dn17a	cornell2017	282 set	277	dn17a#B14A	131595839	3881404	3226010	6.1	79199
dn17a	cornell2017	282 set	277	dn17a#B164	9211382	799521	75015	1.5	9278
dn17a	cornell2017	282 set	277	dn17a#B2	87486138	5127859	3165585	4.3	105217
dn17a	cornell2017	282 set	277	dn17a#B37	140346034	6062231	4302057	6.1	113766
dn17a	cornell2017	282 set	277	dn17a#B46	117438108	5653744	3577577	5.2	121890
dn17a	cornell2017	282 set	277	dn17a#B52	93070666	5547085	3281858	4.3	112527
dn17a	cornell2017	282 set	277	dn17a#B57	249336091	10136377	11972553	24.6	80416
dn17a	cornell2017	282 set	277	dn17a#B64	137090779	5557960	2747518	5.6	120926
dn17a	cornell2017	282 set	277	dn17a#B68	124827749	5114037	3714279	5.9	100474
dn17a	cornell2017	282 set	277	dn17a#B73Htrhm	152147188	54371	561908	6.6	1094
dn17a	cornell2017	282 set	277	dn17a#B73	137021297	16818	360891	5.6	414
dn17a	cornell2017	282 set	277	dn17a#B75	92422857	5303495	3005038	4.2	115620
dn17a	cornell2017	282 set	277	dn17a#B76	143734182	6181653	3449508	6	127265
dn17a	cornell2017	282 set	277	dn17a#B77	111884219	6663815	3818983	4.9	142247
dn17a	cornell2017	282 set	277	dn17a#B79	232508782	7455216	6498485	8.9	113085
dn17a	cornell2017	282 set	277	dn17a#B84	254776789	4246203	4136479	8.1	68511
dn17a	cornell2017	282 set	277	dn17a#B97	260478201	8658014	7249362	12.2	116416
dn17a	cornell2017	282 set	277	dn17a#C103	130695127	6223726	5483867	6.6	132856
dn17a	cornell2017	282 set	277	dn17a#C123	184886817	7869478	5627141	7.3	136549
dn17a	cornell2017	282 set	277	dn17a#C49A	174476213	5776092	3027650	4.8	179445
dn17a	cornell2017	282 set	277	dn17a#CH701-30	90921254	5389923	3052429	4.2	114010
dn17a	cornell2017	282 set	277	dn17a#CH9	179391014	7037830	5089638	6.5	141101
dn17a	cornell2017	282 set	277	dn17a#CI187-2	298475759	6612477	5450435	9.5	140501
dn17a	cornell2017	282 set	277	dn17a#CI21E	151251023	5399316	4001003	5.5	126532
dn17a	cornell2017	282 set	277	dn17a#CI28AGoodman-Buckler	98764019	5815002	3664871	4.8	122208
dn17a	cornell2017	282 set	277	dn17a#CI31A	170935064	5792502	3172234	4.8	176488
dn17a	cornell2017	282 set	277	dn17a#CI3A	213078895	6394383	3774909	5.8	196166
dn17a	cornell2017	282 set	277	dn17a#CI64	174826867	7084040	4872093	6.4	156863
dn17a	cornell2017	282 set	277	dn17a#CI66	242134576	7002149	4160531	6.5	190521
dn17a	cornell2017	282 set	277	dn17a#Ci7Goodman-Buckler	100652014	5953335	3991451	5.1	116212
dn17a	cornell2017	282 set	277	dn17a#Ci90CGoodman-Buckler	78612693	4961556	2933285	4.1	105649
dn17a	cornell2017	282 set	277	dn17a#Ci91BGoodman-Buckler	115938798	5358661	4058677	5.3	114666
dn17a	cornell2017	282 set	277	dn17a#CM105	204257302	5718460	4537764	6.9	113964
dn17a	cornell2017	282 set	277	dn17a#CM174	190610126	5323077	2144114	5.4	146014
dn17a	cornell2017	282 set	277	dn17a#CM37	180751640	5935552	3306212	5	174719
dn17a	cornell2017	282 set	277	dn17a#CM7	137083509	7500575	5666640	6.6	137989
dn17a	cornell2017	282 set	277	dn17a#CML103	193390112	8810617	7571322	10	130417
dn17a	cornell2017	282 set	277	dn17a#CML108	231388399	7279134	4850728	7	197221
dn17a	cornell2017	282 set	277	dn17a#CML10	95899261	6993476	4002192	4.5	157912
dn17a	cornell2017	282 set	277	dn17a#CML11	90101691	6767486	3672646	4.3	155957
dn17a	cornell2017	282 set	277	dn17a#CML14	125223507	7787637	5531405	6.2	160020
dn17a	cornell2017	282 set	277	dn17a#CML154Q	96354288	6266393	3139272	4.2	161384
dn17a	cornell2017	282 set	277	dn17a#CML157Q	113189872	7737762	5124088	5.5	149497
dn17a	cornell2017	282 set	277	dn17a#CML158Q	164595956	8524236	6570185	7.6	164691
dn17a	cornell2017	282 set	277	dn17a#CML218	102603428	7245300	4487059	4.9	161840
dn17a	cornell2017	282 set	277	dn17a#CML220	111650320	7371585	5000761	5.4	159744
dn17a	cornell2017	282 set	277	dn17a#CML228	120870006	7481304	4839982	5.9	142465
dn17a	cornell2017	282 set	277	dn17a#CML238	75016741	5821012	3352924	4.2	141219
dn17a	cornell2017	282 set	277	dn17a#CML247	121934767	7792883	4835978	5.8	156078
dn17a	cornell2017	282 set	277	dn17a#CML254	126390660	7648330	5434215	6.1	164924
dn17a	cornell2017	282 set	277	dn17a#CML258	94742561	6002679	2931948	4.1	155812
dn17a	cornell2017	282 set	277	dn17a#CML261	92129662	6271551	3378592	4.2	152872
dn17a	cornell2017	282 set	277	dn17a#CML264	104740994	7566736	5181602	5.5	148196
dn17a	cornell2017	282 set	277	dn17a#CML277	132865070	7962213	4459572	5.8	160054
dn17a	cornell2017	282 set	277	dn17a#CML281	140511116	8306182	5999326	6.5	164401
dn17a	cornell2017	282 set	277	dn17a#CML287	87130181	6816068	4231544	4.7	147724
dn17a	cornell2017	282 set	277	dn17a#CML311	188430348	9176646	7575890	8.9	122163
dn17a	cornell2017	282 set	277	dn17a#CML314	136868996	8020027	6261867	6.6	161964
dn17a	cornell2017	282 set	277	dn17a#CML321	76126548	6212825	3441995	4.1	139463
dn17a	cornell2017	282 set	277	dn17a#CML322	100896311	6595352	4072892	5	140388
dn17a	cornell2017	282 set	277	dn17a#CML323	111874915	7365332	5216708	5.7	154022
